site+ADs-core+ADs-depth+ADs-cn+ADs-d13C+ADs-d15N
Sdhu+ADs-1+ADs-1,3+ADs-26,51+ADs-26,51+ADs-
Sdhu+ADs-1+ADs-3,8+ADs-26,88+ADs-26,88+ADs-
Sdhu+ADs-1+ADs-6,3+ADs-26,66+ADs-26,66+ADs-
Sdhu+ADs-1+ADs-8,8+ADs-27,31+ADs-27,31+ADs-
Sdhu+ADs-1+ADs-11,3+ADs-27,55+ADs-27,55+ADs-
Sdhu+ADs-1+ADs-13,8+ADs-16,68+ADs-28,68+ADs-
Sdhu+ADs-2+ADs-1,3+ADs-46,27+ADs-26,02+ADs-
Sdhu+ADs-2+ADs-3,8+ADs-40,17+ADs-26,19+ADs-
Sdhu+ADs-2+ADs-6,3+ADs-41,96+ADs-25,11+ADs-
Sdhu+ADs-2+ADs-8,8+ADs-31,3+ADs-27,35+ADs-
Sdhu+ADs-2+ADs-11,4+ADs-32,91+ADs-26,32+ADs-
Sdhu+ADs-2+ADs-13,9+ADs-30,62+ADs-26,27+ADs-
Sdhu+ADs-2+ADs-16,4+ADs-29,03+ADs-25,91+ADs-
Sdhu+ADs-2+ADs-18,9+ADs-24,33+ADs-25,95+ADs-
Sdhu+ADs-2+ADs-21,5+ADs-18,27+ADs-26,79+ADs-
Sdhu+ADs-2+ADs-24+ADs-16,85+ADs-27,77+ADs-
Sdhu+ADs-2+ADs-26,5+ADs-18,48+ADs-26,78+ADs-
Sdhu+ADs-2+ADs-29,1+ADs-15,15+ADs-27,47+ADs-
Sdhu+ADs-2+ADs-31,6+ADs-14,42+ADs-27,1+ADs-
Sdhu+ADs-2+ADs-34,1+ADs-14,14+ADs-27,7+ADs-
Sdhu+ADs-2+ADs-36,6+ADs-13,84+ADs-27,62+ADs-
Sdhu+ADs-2+ADs-39,2+ADs-13,89+ADs-27,36+ADs-
Sdhu+ADs-2+ADs-41,7+ADs-17,05+ADs-26,95+ADs-
Sdhu+ADs-2+ADs-44,2+ADs-22,6+ADs-26,32+ADs-
Sdhu+ADs-2+ADs-46,7+ADs-19,89+ADs-26,43+ADs-
Sdhu+ADs-3+ADs-1,1+ADs-37,83+ADs-26,82+ADs-
Sdhu+ADs-3+ADs-3,3+ADs-46,67+ADs-27,09+ADs-
Sdhu+ADs-3+ADs-5,5+ADs-71,12+ADs-24,79+ADs-
Sdhu+ADs-3+ADs-7,7+ADs-73,79+ADs-25,13+ADs-
Sdhu+ADs-3+ADs-9,9+ADs-62,62+ADs-25,32+ADs-
Sdhu+ADs-3+ADs-12,1+ADs-59,47+ADs-25,61+ADs-
Sdhu+ADs-3+ADs-14,4+ADs-42,75+ADs-25,34+ADs-
Sdhu+ADs-3+ADs-16,6+ADs-48,94+ADs-25,19+ADs-
Sdhu+ADs-3+ADs-18,8+ADs-40,16+ADs-25,88+ADs-
Sdhu+ADs-3+ADs-21+ADs-29,3+ADs-26,47+ADs-
Sdhu+ADs-3+ADs-23,2+ADs-32,35+ADs-26,28+ADs-
Sdhu+ADs-3+ADs-25,4+ADs-25,03+ADs-25,5+ADs-
Sdhu+ADs-3+ADs-27,6+ADs-19,12+ADs-25,8+ADs-
Sdhu+ADs-3+ADs-29,8+ADs-21,35+ADs-26,7+ADs-
Sdhu+ADs-3+ADs-32+ADs-22,48+ADs-27,29+ADs-
Sdhu+ADs-3+ADs-34,2+ADs-24,01+ADs-27,75+ADs-
Sdhu+ADs-3+ADs-36,4+ADs-24,75+ADs-28,16+ADs-
Sdhu+ADs-3+ADs-38,6+ADs-17,92+ADs-27,27+ADs-
Sdhu+ADs-3+ADs-40,9+ADs-17,24+ADs-27,48+ADs-
Sdhu+ADs-3+ADs-43,1+ADs-16,6+ADs-27,55+ADs-
Sdhu+ADs-3+ADs-45,3+ADs-15,75+ADs-28+ADs-
Sdhu+ADs-3+ADs-47,5+ADs-15,04+ADs-27,73+ADs-
Sdhu+ADs-3+ADs-49,7+ADs-14,22+ADs-27,9+ADs-
Sfhu+ADs-1+ADs-1+ADs-41,55+ADs-27,52+ADs-
Sfhu+ADs-1+ADs-3,1+ADs-47,39+ADs-27,28+ADs-
